B7;B8;B9;B10;B11;B12;C4;C5;C6;C7;C8;C9;F7;F8;F9;Wavel.
0,048900001;0,045200001;0,0513;0,044199999;0,041499998;0,041900001;0,0515;0,0535;0,047899999;0,0504;0,048700001;0,047699999;0,054699998;0,0482;0,045499999;682
0,048799999;0,045200001;0,051199999;0,044199999;0,041499998;0,041900001;0,0515;0,053399999;0,047800001;0,0504;0,048700001;0,047699999;0,0546;0,0482;0,045499999;684
0,048700001;0,0451;0,051199999;0,044100001;0,041499998;0,041900001;0,0515;0,053399999;0,047800001;0,0504;0,048700001;0,047800001;0,0546;0,0482;0,045600001;686
0,048700001;0,045000002;0,051100001;0,043900002;0,0414;0,041700002;0,0515;0,0535;0,047800001;0,050299998;0,048700001;0,047699999;0,0546;0,048300002;0,045600001;688
0,048599999;0,045000002;0,050999999;0,043900002;0,0414;0,041700002;0,0515;0,053399999;0,047800001;0,0502;0,048700001;0,047800001;0,0546;0,048300002;0,045600001;690
0,048599999;0,045000002;0,050900001;0,043699998;0,0414;0,0416;0,0515;0,0535;0,047699999;0,0502;0,048700001;0,047800001;0,0546;0,0484;0,045699999;692
0,048599999;0,045000002;0,050900001;0,043699998;0,0414;0,0416;0,0515;0,053599998;0,047800001;0,050099999;0,048700001;0,047800001;0,0546;0,0484;0,0458;694
0,048599999;0,0449;0,050700001;0,043699998;0,0414;0,041499998;0,051399998;0,0537;0,047699999;0,050000001;0,048599999;0,047800001;0,0546;0,0484;0,045699999;696
0,048599999;0,0449;0,050799999;0,0436;0,0414;0,041499998;0,0515;0,0537;0,047699999;0,050000001;0,048799999;0,047899999;0,054499999;0,0484;0,0458;698
0,048599999;0,045000002;0,050799999;0,0436;0,041499998;0,0416;0,051600002;0,0537;0,047699999;0,050000001;0,048799999;0,048;0,054499999;0,048500001;0,045899998;700
0,048700001;0,0451;0,050799999;0,0436;0,041499998;0,0416;0,0517;0,053599998;0,047699999;0,050000001;0,048799999;0,048;0,054400001;0,048599999;0,046;702
